"occupation_name";"country";"state";"count";"hispanic_or_latino_n";"white_n";"black_n";"asian_n";"pacific_islander_n";"american_or_alaskan_native_n";"other_or_multiple_n";"less_than_30yrs_n";"30_to_39_yrs_n";"40_to_49_yrs_n";"50_to_59_yrs_n";"60_or_older_n";"male_n";"female_n";"hispanic_or_latino_percentage";"white_percentage";"black_percentage";"asian_percentage";"pacific Islander_percentage";"american_or_alaskan_native_percentage";"other_or_multiple_percentage";"less_than_30yrs_percentage";"30_to_39_yrs_percentage";"40_to_49_yrs_percentage";"50_to_59_yrs_percentage";"60_or_older_percentage";"male_percentage";"female_percentage"
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Alabama";5364;0;4739;455;0;0;0;0;0;1847;1809;846;459;898;4466;0.0;88.348;8.482;0.0;0.0;0.0;0.0;0.0;34.433;33.725;15.772;8.557;16.741;83.259
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Alaska";756;0;0;0;0;0;0;0;0;0;0;0;0;0;750;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.206
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Arizona";4960;580;3549;314;219;0;0;0;0;1239;1592;1026;1027;903;4057;11.694;71.552;6.331;4.415;0.0;0.0;0.0;0.0;24.98;32.097;20.685;20.706;18.206;81.794
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Arkansas";2571;0;2202;0;0;0;0;0;0;843;844;549;0;357;2214;0.0;85.648;0.0;0.0;0.0;0.0;0.0;0.0;32.789;32.828;21.354;0.0;13.886;86.114
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"California";17615;2022;8923;1047;4635;0;0;926;863;5623;4667;3450;3012;2894;14721;11.479;50.656;5.944;26.313;0.0;0.0;5.257;4.899;31.922;26.494;19.586;17.099;16.429;83.571
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Colorado";4703;0;4130;0;0;0;0;0;0;1605;1155;1158;662;626;4077;0.0;87.816;0.0;0.0;0.0;0.0;0.0;0.0;34.127;24.559;24.623;14.076;13.311;86.689
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Florida";16986;3602;10481;1386;1096;0;0;421;1118;5224;4516;3587;2541;3427;13559;21.206;61.704;8.16;6.452;0.0;0.0;2.479;6.582;30.755;26.587;21.117;14.959;20.175;79.825
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Georgia";8672;0;6304;1543;0;0;0;0;582;2877;3029;1600;584;1632;7040;0.0;72.694;17.793;0.0;0.0;0.0;0.0;6.711;33.176;34.929;18.45;6.734;18.819;81.181
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Louisiana";4103;0;3401;572;0;0;0;0;0;1738;1251;648;310;1046;3057;0.0;82.891;13.941;0.0;0.0;0.0;0.0;0.0;42.359;30.49;15.793;7.555;25.494;74.506
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Massachusetts";8726;463;7118;546;349;0;0;0;935;3135;1973;1437;1246;738;7988;5.306;81.572;6.257;4.0;0.0;0.0;0.0;10.715;35.927;22.611;16.468;14.279;8.457;91.543
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"New Jersey";4727;0;3097;519;545;0;0;0;0;1500;1059;1016;869;707;4020;0.0;65.517;10.979;11.53;0.0;0.0;0.0;0.0;31.733;22.403;21.494;18.384;14.957;85.043
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"New York";16307;1081;11404;1343;1982;0;0;491;1060;4822;3825;3586;3014;2182;14125;6.629;69.933;8.236;12.154;0.0;0.0;3.011;6.5;29.57;23.456;21.991;18.483;13.381;86.619
